Name;Time;X;Y
johnMclain;39;249,72448994175727;-259,7244899417572
BadJoe;39;-6,0;2,0
counter1;40;10,0;10,0
DLH123;40;20,0;20,0
johnMclain;40;256,79555775362275;-266,7955577536227
BadJoe;40;-10,0;3,0
counter1;41;10,0;10,0
DLH123;41;20,0;20,0
johnMclain;41;263,8666255654882;-273,86662556548816
BadJoe;41;-12,0;0,0
counter1;42;10,0;10,0
DLH123;42;20,0;20,0
johnMclain;42;270,9376933773537;-280,93769337735364
BadJoe;42;-16,0;1,0
counter1;43;10,0;10,0
DLH123;43;20,0;20,0
johnMclain;43;278,0087611892192;-288,0087611892191
BadJoe;43;-19,0;3,0
counter1;44;10,0;10,0
DLH123;44;20,0;20,0
johnMclain;44;285,07982900108465;-295,0798290010846
BadJoe;44;-15,0;3,0
counter1;45;10,0;10,0
DLH123;45;20,0;20,0
johnMclain;45;292,1508968129501;-302,15089681295007
BadJoe;45;-13,0;7,0
counter1;46;10,0;10,0
DLH123;46;20,0;20,0
johnMclain;46;299,2219646248156;-309,22196462481554
BadJoe;46;-16,0;4,0
counter1;47;10,0;10,0
DLH123;47;20,0;20,0
johnMclain;47;306,2930324366811;-316,293032436681
BadJoe;47;-12,0;5,0
counter1;48;10,0;10,0
DLH123;48;20,0;20,0
johnMclain;48;313,36410024854655;-323,3641002485465
BadJoe;48;-8,0;5,0
counter1;49;10,0;10,0
DLH123;49;20,0;20,0
johnMclain;49;320,435168060412;-330,43516806041197
BadJoe;49;-11,0;3,0
counter1;50;10,0;10,0
DLH123;50;20,0;20,0
johnMclain;50;327,5062358722775;-337,50623587227744
BadJoe;50;-7,0;3,0
counter1;51;10,0;10,0
DLH123;51;20,0;20,0
johnMclain;51;334,577303684143;-344,5773036841429
BadJoe;51;-4,0;5,0
counter1;52;10,0;10,0
DLH123;52;20,0;20,0
johnMclain;52;341,64837149600845;-351,6483714960084
BadJoe;52;-1,0;3,0
counter1;53;10,0;10,0
DLH123;53;20,0;20,0
johnMclain;53;348,7194393078739;-358,71943930787387
BadJoe;53;3,0;2,0
counter1;54;10,0;10,0
DLH123;54;20,0;20,0
johnMclain;54;355,7905071197394;-365,79050711973935
BadJoe;54;3,0;2,0
counter1;55;10,0;10,0
DLH123;55;20,0;20,0
johnMclain;55;362,8615749316049;-372,8615749316048
BadJoe;55;3,0;2,0
counter1;56;10,0;10,0
DLH123;56;20,0;20,0
johnMclain;56;369,93264274347035;-379,9326427434703
