Name;Time;X;Y
BadJoe;18;6,0;-2,0
counter1;19;10,0;10,0
DLH123;19;20,0;20,0
jim;19;-28,06198469308737;66,78886005090311
johnMclain;19;-118,77799449465294;122,72239457025579
LuckyLuke;19;-142,5033754634613;146,10652109536008
soc;19;-50,0;-50,0
BadJoe;19;6,0;-2,0
counter1;20;10,0;10,0
DLH123;20;20,0;20,0
jim;20;-31,549749134086543;70,37152654446649
johnMclain;20;-125,84748637858775;129,79503795890335
LuckyLuke;20;-149,56497609652385;153,18704342772588
soc;20;-50,0;-50,0
BadJoe;20;6,0;-2,0
counter1;21;10,0;10,0
DLH123;21;20,0;20,0
jim;21;-35,044178345714684;73,94769271579018
johnMclain;21;-132,91714734906662;136,8675123323096
LuckyLuke;21;-156,62743894222618;160,26670574686753
soc;21;-50,0;-50,0
BadJoe;21;6,0;-2,0
counter1;22;10,0;10,0
DLH123;22;20,0;20,0
jim;22;-38,543966791542466;77,51861428233997
johnMclain;22;-139,9869515781255;143,93984350122278
LuckyLuke;22;-163,69065132355678;167,34562027214739
soc;22;-50,0;-50,0
BadJoe;22;6,0;-2,0
counter1;23;10,0;10,0
DLH123;23;20,0;20,0
jim;23;-42,04812935134962;81,08524360909173
johnMclain;23;-147,05687824336113;151,01205227558674
LuckyLuke;23;-170,75451938029175;174,42388051581173
soc;23;-50,0;-50,0
BadJoe;23;6,0;-2,0
counter1;24;10,0;10,0
DLH123;24;20,0;20,0
jim;24;-45,555908627905104;84,6483159556724
johnMclain;24;-154,12691037132038;158,08415561968627
LuckyLuke;24;-177,8189642979238;181,50156502458597
soc;24;-50,0;-50,0
BadJoe;24;6,0;-2,0
counter1;25;10,0;10,0
DLH123;25;20,0;20,0
jim;25;-49,066712691758056;88,20840792432062
johnMclain;25;-161,19703398743317;165,15616750124332
LuckyLuke;25;-184,88391940866745;188,57874025791014
soc;25;-50,0;-50,0
BadJoe;25;6,0;-2,0
counter1;26;10,0;10,0
DLH123;26;20,0;20,0
jim;26;-52,5800722027619;91,76597801448594
johnMclain;26;-168,26723748171062;172,22809952506162
LuckyLuke;26;-191,94932793796207;195,65546282659764
soc;26;-50,0;-50,0
BadJoe;26;6,0;-2,0
counter1;27;10,0;10,0
DLH123;27;20,0;20,0
jim;27;-56,09561021588094;95,32139535684043
johnMclain;27;-175,3375111289074;179,2999614124117
LuckyLuke;27;-199,0151412347716;202,73178125178384
soc;27;-50,0;-50,0
BadJoe;27;6,0;-2,0
counter1;28;10,0;10,0
DLH123;28;20,0;20,0
jim;28;-59,613020497278896;98,87496045576798
